=== Logger: VulkanApp ===
[11:59:33.276] [VulkanApp] [INFO] Vulkan Application Starting

  === Logger: Renderer ===
  [11:59:37.199] [Renderer] [INFO] FPS: 2958.58 | Avg: 2418.52 | Min: 70.10 | Max: 6410.26 | Frames: 6000
  [11:59:37.217] [Renderer] [INFO] FPS: 3311.26 | Avg: 2424.81 | Min: 70.10 | Max: 6410.26 | Frames: 6060
  [11:59:37.241] [Renderer] [INFO] FPS: 3690.04 | Avg: 2425.95 | Min: 70.10 | Max: 6410.26 | Frames: 6120
  [11:59:37.264] [Renderer] [INFO] FPS: 3773.58 | Avg: 2427.22 | Min: 70.10 | Max: 6410.26 | Frames: 6180
  [11:59:37.282] [Renderer] [INFO] FPS: 1919.39 | Avg: 2433.83 | Min: 70.10 | Max: 6410.26 | Frames: 6240
  [11:59:37.306] [Renderer] [INFO] FPS: 3875.97 | Avg: 2434.38 | Min: 70.10 | Max: 6410.26 | Frames: 6300
  [11:59:37.328] [Renderer] [INFO] FPS: 3745.32 | Avg: 2437.25 | Min: 70.10 | Max: 6410.26 | Frames: 6360
  [11:59:37.347] [Renderer] [INFO] FPS: 3496.50 | Avg: 2442.43 | Min: 70.10 | Max: 6410.26 | Frames: 6420
  [11:59:37.371] [Renderer] [INFO] FPS: 3257.33 | Avg: 2442.82 | Min: 70.10 | Max: 6410.26 | Frames: 6480
  [11:59:37.388] [Renderer] [INFO] FPS: 6410.26 | Avg: 2449.89 | Min: 70.10 | Max: 6410.26 | Frames: 6540
  [11:59:37.410] [Renderer] [INFO] FPS: 3300.33 | Avg: 2451.89 | Min: 70.10 | Max: 6410.26 | Frames: 6600
  [11:59:37.434] [Renderer] [INFO] FPS: 2865.33 | Avg: 2452.97 | Min: 70.10 | Max: 6410.26 | Frames: 6660
  [11:59:37.452] [Renderer] [INFO] FPS: 2739.73 | Avg: 2458.44 | Min: 70.10 | Max: 6410.26 | Frames: 6720
  [11:59:37.477] [Renderer] [INFO] FPS: 2890.17 | Avg: 2458.07 | Min: 70.10 | Max: 6410.26 | Frames: 6780
  [11:59:37.500] [Renderer] [INFO] FPS: 2666.67 | Avg: 2459.00 | Min: 70.10 | Max: 6410.26 | Frames: 6840
  [11:59:37.519] [Renderer] [INFO] FPS: 3184.71 | Avg: 2463.84 | Min: 70.10 | Max: 6410.26 | Frames: 6900
  [11:59:37.544] [Renderer] [INFO] FPS: 3164.56 | Avg: 2463.63 | Min: 70.10 | Max: 6410.26 | Frames: 6960
  [11:59:37.569] [Renderer] [INFO] FPS: 2923.98 | Avg: 2462.99 | Min: 70.10 | Max: 6410.26 | Frames: 7020
  [11:59:37.589] [Renderer] [INFO] FPS: 3300.33 | Avg: 2467.00 | Min: 70.10 | Max: 6410.26 | Frames: 7080
